Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
303.00,24.02,22.46,22.85,22.30,23.66,22.36,23.41,22.98,22.59,23.41,22.57,23.48,22.78,23.14,23.81,22.85,22.44,23.03,22.46,23.05,22.68,22.31,24.09,22.75,23.45,24.06,23.88,22.50,23.14,22.91,23.20,22.65,23.59,23.50,22.25,22.77,23.70,23.32,23.12,22.69,22.82,20.92,22.84,22.34,21.74,22.71,22.46,22.23,22.05,23.34,22.62,22.34,22.87,22.12,21.91,21.87,
304.00,27.50,26.16,26.12,26.35,26.63,26.11,26.68,26.68,26.44,27.15,26.34,27.45,26.15,27.11,28.12,26.76,26.48,26.49,26.63,26.73,26.88,25.54,26.83,27.15,27.38,27.93,26.72,26.78,26.25,27.02,27.24,25.68,27.21,27.83,26.69,27.02,26.73,27.30,27.06,26.25,27.20,25.90,26.91,26.87,25.63,26.90,26.96,26.63,26.40,27.78,26.69,26.54,26.49,25.59,26.10,25.83,
305.00,31.46,30.83,30.47,30.83,30.68,30.54,31.39,32.03,31.39,32.31,31.25,31.67,31.32,31.53,31.75,32.31,32.03,30.69,31.32,31.53,30.61,30.47,31.32,31.89,31.96,31.68,31.60,30.47,30.40,30.82,31.89,31.11,31.39,31.82,31.11,31.04,30.68,30.83,31.88,31.11,31.39,31.32,31.25,31.46,30.97,31.89,31.53,30.54,31.18,31.46,31.04,30.69,31.11,29.76,30.75,29.41,
306.00,37.44,35.78,36.01,36.16,36.15,35.87,36.74,37.11,36.89,37.21,36.71,37.16,37.26,36.43,36.88,36.56,37.44,36.70,36.37,36.88,35.87,36.14,36.93,37.44,37.02,36.47,38.00,36.52,35.82,35.92,35.86,36.84,36.89,36.47,36.10,36.80,36.33,35.73,37.67,36.47,36.01,36.52,35.77,36.79,35.86,36.23,36.42,35.41,36.71,35.44,35.49,35.17,35.68,35.03,35.07,34.57,
307.00,43.17,42.09,42.59,42.63,42.75,42.71,43.37,42.34,42.55,43.42,42.01,43.15,42.13,42.38,43.19,41.70,42.95,43.15,42.59,42.53,42.38,41.39,42.11,42.80,43.29,42.49,43.65,43.65,42.09,41.72,41.30,42.22,42.65,41.74,42.21,43.58,42.55,42.32,42.59,42.26,42.51,43.11,41.72,42.92,41.45,41.70,42.36,41.86,42.65,41.39,41.18,41.74,41.35,40.39,40.52,41.28,
308.00,49.27,49.68,49.29,49.42,48.78,49.41,49.55,49.83,49.30,50.22,49.04,50.06,48.91,49.02,49.67,48.91,49.30,49.14,50.21,49.01,49.16,48.14,47.85,49.68,49.70,49.16,50.07,50.20,49.30,48.89,48.25,48.50,48.64,47.98,49.17,49.92,48.91,49.14,48.76,48.89,49.91,50.34,48.50,49.94,48.88,48.25,48.91,48.08,48.89,48.09,48.35,48.87,46.90,46.66,47.73,47.72,
309.00,57.29,57.72,57.42,57.67,57.29,57.67,57.49,58.58,57.64,58.45,58.06,57.43,57.91,56.85,57.81,56.78,57.75,57.20,58.35,56.94,57.29,56.97,56.20,58.04,57.58,57.48,58.26,57.96,57.72,56.59,56.64,56.72,56.65,56.39,57.62,57.45,57.22,57.01,56.71,56.59,56.82,58.04,56.50,57.21,56.84,56.27,57.11,55.44,56.48,55.55,55.58,55.70,54.16,55.50,56.15,55.60,
310.00,67.02,66.67,66.72,66.72,67.70,67.45,66.95,67.50,66.39,67.45,67.40,66.34,66.95,65.51,67.30,64.96,66.64,67.02,67.37,66.45,66.82,66.31,65.54,66.92,67.00,66.95,67.28,67.78,66.97,65.23,64.96,65.26,66.19,65.68,66.14,67.50,67.38,66.17,65.81,65.13,66.32,66.34,65.99,65.83,65.79,65.36,65.15,64.40,65.08,64.02,63.77,64.96,63.30,64.55,64.93,65.31,
311.00,76.58,76.55,76.09,75.42,77.00,76.50,76.95,76.58,75.49,76.53,76.36,76.40,75.99,74.92,76.18,74.60,75.22,76.21,76.77,76.06,76.60,75.12,74.70,76.40,76.13,76.38,76.41,77.27,76.87,74.89,74.74,74.45,75.47,74.80,76.13,76.12,76.83,76.08,74.26,74.65,75.99,75.39,75.39,74.87,74.58,74.23,74.08,74.33,73.59,73.78,73.76,74.90,73.34,73.09,73.88,74.95,
312.00,86.33,86.37,85.35,85.27,86.77,86.28,86.10,85.99,85.39,86.22,87.09,86.33,86.22,85.65,86.49,85.24,84.93,85.53,86.51,85.72,86.98,84.77,84.25,87.43,85.15,86.79,85.58,86.58,86.70,85.42,85.39,84.00,85.08,85.16,86.09,85.13,85.92,85.62,83.89,84.56,85.51,85.23,85.15,84.49,84.19,84.19,84.33,84.44,83.12,83.73,83.51,83.34,82.79,83.20,84.01,84.18,
