Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
304.00,4.33,3.78,3.60,3.53,3.99,4.94,5.68,5.30,4.46,4.09,3.81,3.21,3.40,3.91,3.64,4.15,3.76,4.38,4.92,6.29,6.91,5.81,5.48,5.53,5.24,5.66,5.98,5.94,6.19,7.07,8.08,13.14,11.94,10.11,8.96,9.21,9.34,10.14,11.70,11.62,12.34,12.65,12.93,13.16,13.10,12.82,13.19,13.10,
305.00,5.10,4.43,4.26,4.21,4.72,5.82,6.69,6.19,5.22,4.76,4.41,3.85,4.07,4.62,4.24,4.89,4.44,5.22,5.83,7.51,8.23,7.01,6.43,6.60,6.28,6.74,7.01,6.97,7.34,8.47,9.63,15.58,14.17,11.88,10.43,10.83,10.94,12.24,13.74,13.72,14.62,14.93,15.67,15.41,15.24,15.16,15.67,15.61,
306.00,6.06,5.25,5.07,4.97,5.58,6.87,7.98,7.27,6.10,5.75,5.08,4.49,4.83,5.41,5.07,5.74,5.29,6.19,6.81,8.93,9.70,8.21,7.70,7.86,7.39,8.04,8.37,8.04,8.60,10.04,11.40,18.57,16.62,14.20,12.46,12.90,12.84,14.74,16.01,16.24,17.41,17.68,18.54,18.48,18.07,17.85,18.44,18.54,
307.00,7.17,6.27,6.01,5.86,6.60,8.13,9.50,8.50,7.17,6.85,6.03,5.35,5.73,6.39,5.94,6.85,6.33,7.32,8.06,10.66,11.42,9.78,9.11,9.02,8.59,9.61,9.97,9.57,10.19,11.74,13.41,21.91,19.71,16.49,14.78,15.30,15.18,17.46,18.94,19.51,20.52,20.78,21.91,21.86,21.28,20.64,21.67,21.63,
308.00,8.51,7.46,7.10,6.95,7.82,9.56,11.31,9.86,8.55,7.99,7.18,6.39,6.72,7.53,6.90,8.12,7.50,8.61,9.55,12.69,13.57,11.48,10.76,10.59,10.18,11.34,11.51,11.18,11.91,13.73,15.68,26.30,22.92,19.51,17.41,17.88,18.31,20.57,21.97,22.99,24.03,24.35,25.66,25.86,24.86,24.35,25.24,25.55,
309.00,10.11,8.83,8.41,8.26,9.25,11.30,13.30,11.74,10.07,9.25,8.39,7.55,7.93,8.88,8.09,9.54,8.84,10.22,11.30,14.91,15.95,13.39,12.77,12.49,12.21,13.44,13.38,13.16,13.92,16.26,18.57,30.81,26.87,22.89,20.54,20.73,21.53,24.30,25.55,27.20,28.27,28.75,30.26,30.35,29.10,28.70,29.77,30.09,
310.00,11.90,10.40,9.90,9.69,10.90,13.23,15.69,13.79,11.94,10.90,9.82,8.86,9.27,10.42,9.49,11.20,10.35,12.03,13.21,17.62,18.61,15.55,15.04,14.66,14.36,15.71,15.72,15.34,16.43,19.03,21.84,36.08,31.41,26.89,23.91,24.31,24.98,28.39,29.86,31.84,33.18,33.83,35.32,35.56,34.45,33.66,34.97,35.09,
311.00,13.78,12.09,11.51,11.24,12.61,15.26,18.26,16.03,13.85,12.53,11.35,10.28,10.68,12.02,10.91,12.97,11.86,13.84,15.25,20.30,21.37,17.99,17.22,16.83,16.53,17.94,18.14,17.76,19.06,21.90,25.20,41.25,35.88,30.86,27.37,27.81,28.76,32.74,34.49,36.61,38.19,38.98,40.27,40.85,39.62,38.41,40.04,40.27,
312.00,15.73,13.87,13.18,12.88,14.47,17.40,20.90,18.33,15.91,14.23,13.05,11.78,12.22,13.70,12.51,14.79,13.53,15.79,17.46,23.11,24.40,20.45,19.56,19.24,18.84,20.31,20.59,20.33,21.69,24.99,28.60,47.03,40.59,35.21,31.26,31.65,32.69,37.17,39.14,41.65,43.21,44.30,45.43,46.43,45.13,43.89,45.33,46.01,
313.00,17.81,15.69,14.90,14.59,16.40,19.76,23.65,20.75,18.02,16.02,14.90,13.33,13.88,15.54,14.16,16.75,15.35,17.92,19.75,25.97,27.61,23.28,22.07,21.84,21.33,22.97,23.33,23.15,24.60,28.35,32.42,52.75,45.79,39.79,35.26,35.42,36.93,42.09,44.28,46.86,48.58,49.98,51.53,52.22,50.95,49.59,51.30,51.88,
314.00,19.98,17.60,16.72,16.38,18.48,22.23,26.53,23.33,20.24,18.04,16.63,14.92,15.58,17.47,15.95,18.81,17.15,20.09,22.07,29.16,30.81,26.15,24.72,24.67,23.90,25.75,26.22,25.82,27.68,31.78,36.40,59.27,51.12,44.63,39.42,39.80,40.77,46.92,49.73,52.36,54.38,56.13,57.59,58.55,57.08,55.33,57.28,58.12,
315.00,22.28,19.64,18.64,18.24,20.55,24.82,29.54,26.00,22.40,20.05,18.43,16.54,17.38,19.41,17.69,20.84,19.02,22.36,24.53,32.30,34.16,29.15,27.44,27.33,26.38,28.56,29.09,28.71,30.80,35.26,40.21,65.52,56.65,49.49,43.93,44.17,45.17,52.15,55.02,57.90,60.16,62.32,63.47,64.70,62.96,60.88,63.13,64.16,
316.00,24.71,21.78,20.65,20.21,22.80,27.49,32.78,28.66,24.74,22.18,20.36,18.33,19.28,21.51,19.55,23.06,21.07,24.75,27.17,35.73,37.92,32.33,30.41,30.31,29.19,31.65,32.05,31.70,34.00,38.94,44.28,72.22,62.50,54.57,48.55,48.87,49.88,57.21,60.89,63.95,66.23,68.68,69.99,71.11,69.36,67.22,69.36,70.84,
317.00,27.24,23.90,22.73,22.34,25.11,30.28,36.05,31.60,27.13,24.39,22.29,20.17,21.21,23.69,21.50,25.38,23.19,27.25,29.90,39.18,41.66,35.57,33.49,33.48,32.20,34.76,35.19,34.73,37.35,42.85,48.73,78.96,68.28,59.90,53.45,53.55,54.82,62.68,66.81,70.01,72.81,75.35,76.97,77.73,75.81,73.68,76.36,77.60,
318.00,29.58,25.87,24.64,24.21,27.16,32.81,39.05,34.17,29.29,26.41,23.99,21.85,22.98,25.71,23.33,27.41,25.09,29.54,32.35,42.56,45.05,38.32,36.34,36.32,34.85,37.56,38.04,37.34,40.58,46.46,52.75,85.19,73.37,64.47,57.56,57.99,59.13,67.62,72.24,75.52,78.80,81.68,82.96,84.10,81.83,79.43,82.44,83.44,
319.00,31.67,27.67,26.45,25.87,28.95,35.04,41.92,36.58,31.27,28.30,25.61,23.44,24.55,27.50,24.93,29.30,26.83,31.53,34.59,45.51,48.21,40.90,38.76,38.64,37.18,39.98,40.64,39.91,43.35,49.49,56.22,90.64,78.16,68.65,61.22,61.86,63.06,72.34,76.95,80.59,84.08,87.03,88.26,89.80,87.19,84.63,87.44,88.80,
320.00,33.79,29.49,28.18,27.56,30.85,37.24,44.74,38.89,33.43,30.20,27.35,24.96,26.09,29.35,26.63,31.31,28.71,33.55,36.84,48.46,51.31,43.49,41.14,41.07,39.57,42.54,43.22,42.51,45.98,52.60,59.74,96.20,83.06,72.83,64.95,65.76,66.99,76.90,81.61,85.65,89.07,92.03,93.77,95.28,92.75,90.42,92.83,94.43,
321.00,35.89,31.35,29.94,29.32,32.75,39.54,47.50,41.35,35.66,32.04,29.23,26.62,27.75,31.29,28.38,33.35,30.58,35.66,39.14,51.39,54.63,46.07,43.66,43.66,42.13,45.24,45.91,45.29,48.83,55.90,63.50,102.45,88.36,77.31,69.23,69.89,71.35,81.88,86.74,90.89,94.63,97.65,99.64,101.29,98.24,96.19,98.91,100.36,
322.00,38.38,33.54,32.00,31.28,35.02,42.36,50.82,44.17,38.33,34.31,31.29,28.52,29.71,33.53,30.41,35.65,32.73,38.11,41.77,55.02,58.46,49.08,46.71,46.78,44.99,48.37,49.03,48.33,52.30,59.74,67.80,109.28,94.77,82.70,74.07,74.52,76.33,87.52,92.65,96.86,100.89,104.40,106.54,108.24,105.19,102.87,105.55,107.21,
323.00,41.37,36.28,34.48,33.73,37.83,45.69,54.84,47.70,41.50,37.06,33.76,30.76,32.04,36.19,32.80,38.46,35.32,41.07,44.97,59.28,62.99,52.86,50.39,50.30,48.45,52.11,52.99,52.27,56.30,64.27,72.87,117.63,102.03,89.22,79.95,80.60,82.28,94.39,99.55,104.03,108.55,112.32,114.62,116.42,113.28,111.02,113.79,115.48,
324.00,44.62,39.17,37.15,36.32,40.86,49.33,59.04,51.35,44.80,40.05,36.57,33.18,34.66,39.06,35.37,41.54,38.22,44.35,48.57,63.84,68.08,57.10,54.50,54.12,52.23,56.24,57.21,56.45,60.72,69.25,78.55,126.55,109.59,96.16,86.24,86.87,88.95,102.09,107.22,112.04,116.68,120.76,123.43,125.40,121.83,119.68,122.79,124.45,
325.00,47.98,42.17,40.01,39.19,44.00,53.11,63.46,55.37,48.31,43.09,39.38,35.86,37.45,42.11,38.08,44.68,41.14,47.77,52.38,68.64,73.41,61.61,58.74,58.25,56.32,60.62,61.46,60.76,65.60,74.75,84.59,136.29,117.79,103.31,93.17,93.64,96.01,109.79,115.30,120.39,125.46,130.07,132.92,134.89,130.97,128.72,132.62,133.93,
326.00,51.55,45.34,42.98,42.07,47.32,57.10,68.24,59.63,51.78,46.32,42.28,38.52,40.32,45.27,40.92,47.99,44.20,51.36,56.24,73.96,78.81,66.23,63.18,62.63,60.47,65.12,66.16,65.14,70.48,80.42,90.82,146.08,126.52,111.09,100.13,100.33,102.84,117.77,123.34,129.21,134.40,139.62,142.60,144.67,140.71,138.03,142.35,143.46,
327.00,54.78,48.28,45.78,44.74,50.34,60.65,72.62,63.52,54.96,49.37,44.83,40.98,42.94,48.11,43.54,51.04,47.00,54.74,59.81,78.65,83.78,70.59,67.10,66.40,64.26,69.31,70.45,69.34,75.02,85.36,96.68,155.43,134.01,117.72,106.43,106.90,108.93,125.06,130.82,137.29,143.01,148.06,151.33,153.61,149.31,146.51,151.01,152.41,
328.00,57.41,50.59,48.08,46.91,52.73,63.59,76.26,66.73,57.60,51.80,47.10,43.07,45.05,50.43,45.70,53.60,49.30,57.40,62.85,82.50,87.89,74.08,70.27,69.66,67.39,72.75,73.88,72.65,78.58,89.44,101.42,163.03,140.31,123.48,111.50,112.01,114.00,131.03,137.16,143.85,149.61,154.84,158.49,160.65,156.40,153.29,158.16,159.94,
329.00,59.57,52.52,49.90,48.72,54.74,66.01,79.24,69.28,59.87,53.75,49.03,44.76,46.78,52.38,47.45,55.63,51.12,59.55,65.21,85.71,91.20,76.85,72.89,72.46,69.98,75.48,76.52,75.37,81.50,92.86,105.18,169.15,145.40,128.11,115.80,116.26,118.27,135.66,142.27,149.09,155.28,160.73,164.61,166.18,162.32,159.06,164.19,166.19,
