Datetime,solar_zenith_deg,GHI_Wm2,DNI_Wm2,DHI_obs_Wm2,GHI_theo_Wm2,DHI_theo_Wm2,DNI_theo_Wm2,Kt_GHI,Kt_DHI,Kt_DNI
2024-11-22 10:10:00+00:00,58.28197259871347,83.41018,,,453.9737020347522,37.5429718961571,792.0861650132603,0.18373350620564108,,
2024-11-22 10:11:00+00:00,58.27551447689044,,,,454.065537391269,37.544765376860255,792.1129787430009,,,
2024-11-22 10:12:00+00:00,58.27000221627236,62.81233,0.0711,62.774937299182874,454.1439224748811,37.54629618307918,792.1358653144412,0.13830930436699654,1.6719342167090605,8.975732966184607e-05
2024-11-22 10:13:00+00:00,58.26543609136699,63.54577999999999,0.089385,63.498764847701,454.2088533820512,37.54756423858051,792.1548235878415,0.1399043183038737,1.6911553688069958,0.00011283779046519706
2024-11-22 10:14:00+00:00,58.26181632753347,,,,454.26032690814253,37.54856948077992,792.1698526275246,,,
2024-11-22 10:15:00+00:00,58.25914311001957,65.946495,0.07833,65.90528729302915,454.2983404189066,37.54931185823235,792.180951664353,0.14516120604620966,1.7551663141485774,9.887892385626108e-05
2024-11-22 10:16:00+00:00,58.2574165693524,65.37129,0.07682,65.33087470250194,454.32289205823076,37.549791334689225,792.1881201563858,0.14388729060921132,1.7398465445571736,9.69719161969192e-05
2024-11-22 10:17:00+00:00,58.25663679164643,69.02717,0.075485,68.98745617748082,454.3339806015556,37.55000788623575,792.1913577460812,0.15193045853318166,1.8372154910457081,9.528632099038246e-05
2024-11-22 10:18:00+00:00,58.25680381584595,,,,454.33160549508807,37.549961502056725,792.1906642717447,,,
2024-11-22 10:19:00+00:00,58.25791763371424,45.93264,,,454.3157668559555,37.549652184439566,792.1860397675747,0.10110289659958757,,
2024-11-22 10:20:00+00:00,58.25997818982884,,,,454.2864654722726,37.54907994877561,792.177484463682,,,
2024-11-22 10:21:00+00:00,58.26298538159378,,,,454.24370280296796,37.54824482355672,792.1649987860388,,,
2024-11-22 10:22:00+00:00,58.26693905928853,49.013925,0.046605,48.989412517663126,454.1874809770873,37.54714685036168,792.1485833562756,0.10791562306948006,1.3047439453363214,5.8833659466432455e-05
2024-11-22 10:23:00+00:00,58.2718390260674,42.554995000000005,0.062855,42.52194019896516,454.11780279380304,37.54578608385636,792.1282389916837,0.09370915374423792,1.1325356220800609,7.934952562732697e-05
2024-11-22 10:24:00+00:00,58.277685038032544,,0.057445,,454.03467172137476,37.5441625917735,792.1039667049123,,,7.252204560844014e-05
2024-11-22 10:25:00+00:00,58.28447680915672,45.83219,,,453.93809182714836,37.542276453545504,792.0757676835291,0.1009657282021005,,
2024-11-22 10:26:00+00:00,58.2922139924851,42.264355,,,453.8280680448679,37.540127765524986,792.0436433680693,0.0931285611797407,,
2024-11-22 10:27:00+00:00,58.30089620760676,,0.06825,,453.70460578402765,37.5377166333556,792.0075953379762,,,8.617341601487476e-05
2024-11-22 10:28:00+00:00,58.31052302307516,,0.06823,,453.567711179855,37.535043176854074,791.9676253845895,,,8.615251155862166e-05
2024-11-22 10:29:00+00:00,58.321093960804944,60.33149,0.093585,60.28234305285399,453.4173910307879,37.53210752878919,791.9237354928907,0.13305949704056097,1.606153957824354,0.00011817425820903449
2024-11-22 10:30:00+00:00,58.33260849617453,,0.081505,,453.2536527970153,37.52890983485324,791.8759278410766,,,0.0001029264776645129
2024-11-22 10:31:00+00:00,58.34506605812835,59.44489,0.088575,59.39840563785533,453.07650459902374,37.52545025363369,791.8242048001354,0.1312027646470196,1.5828832228896073,0.00011186195049740522
2024-11-22 10:32:00+00:00,58.358466029406586,71.95523,0.086605,71.90979674081993,452.88595521433064,37.52172895654935,791.7685689328923,0.15888156647725324,1.9164840944321195,0.00010938171000741045
