sza_deg,mu0_cos_sza,total_direct_horiz,total_diffuse_down_horiz,total_diffuse_up_horiz,total_global_horiz,dni_reconstructed,ghi_from_identity,ghi_check_error,ecc_factor,total_global_horiz_corr,total_diffuse_down_horiz_corr,dni_reconstructed_corr
15.0,0.9659258262890684,841646.4138985,43085.9898145,1.6358238725671344e-11,884732.4037129999,871336.4846366829,884732.403713,-1.1641532182693479e-10,0.9956105146843716,880848.8838186411,42896.864494899935,867511.7659323988
15.5,0.963630453208623,839411.633018,43067.392657,-1.394414550097227e-11,882479.0256749999,871092.8865136956,882479.025675,-1.1641532182693479e-10,0.9956105146843716,878605.3969504494,42878.34896934969,867269.2370797953
16.0,0.9612616959383188,837105.6155415,43048.137365500006,3.3800669466861346e-11,880153.752907,870840.4996044016,880153.752907,0.0,0.9956105146843716,876290.3309331195,42859.17819866899,867017.9580191335
16.5,0.958819734868193,834728.5750785,43028.216521,5.743486484171359e-12,877756.7915995,870579.259815974,877756.7915995,0.0,0.9956105146843716,873903.8910520809,42839.34479642339,866757.8649389212
17.0,0.9563047559630354,832280.5908165,43007.6253195,-1.1269629916385209e-11,875288.2161360001,870308.9529010672,875288.216136,1.1641532182693479e-10,0.9956105146843716,871446.1513643286,42818.84397970001,866488.744532248
17.5,0.9537169507482268,829762.0334465,42986.3576585,-7.500559529317205e-12,872748.3911049999,870029.6590047186,872748.3911049999,0.0,0.9956105146843716,868917.4748580062,42797.66967278566,866210.6765923562
18.0,0.9510565162951536,827173.067929,42964.410297,-3.504681640940908e-11,870137.478226,869741.2338346177,870137.478226,0.0,0.9956105146843716,866318.022542749,42775.81864890669,865923.5174603041
18.5,0.9483236552061992,824513.8381035,42941.7734525,8.4352176832192e-11,867455.6115560001,869443.5001984858,867455.611556,1.1641532182693479e-10,0.9956105146843716,863647.9278871155,42753.28116850321,865627.0907215959
19.0,0.9455185755993168,821784.5936895,42918.444191,7.267470885005616e-12,864703.0378805,869136.3817666003,864703.0378805,0.0,0.9956105146843716,860907.4365933442,42730.05431045399,865321.3203815573
19.5,0.9426414910921784,818985.67258,42894.4148385,-1.0134325954635048e-11,861880.0874184999,868819.8857352372,861880.0874185,-1.1641532182693479e-10,0.9956105146843716,858096.8774309438,42706.13043444393,865006.2136048763
20.0,0.9396926207859084,816117.1958315,42869.6781415,-8.009844112412002e-12,858986.8739730001,868493.7795392534,858986.873973,1.1641532182693479e-10,0.9956105146843716,855216.363703378,42681.50231881217,864681.5388472512
20.5,0.9366721892483976,813179.4542105,42844.228176,1.2054768532913598e-11,856023.6823865,868157.9997192078,856023.6823865,0.0,0.9956105146843716,852266.1790028343,42656.164065562014,864347.2329277949
21.0,0.9335804264972016,810172.6438635,42818.0572995,3.4467828950977237e-11,852990.701163,867812.3714560637,852990.701163,0.0,0.9956105146843716,849246.5110058774,42630.1080657401,864003.1217948366
21.5,0.9304175679820246,807097.1726895,42791.1586935,3.3572091611334947e-12,849888.3313829999,867456.9359647913,849888.331383,-1.1641532182693479e-10,0.9956105146843716,846157.7590324703,42603.32753077616,863649.2464824339
22.0,0.9271838545667874,803953.1118350001,42763.524431,8.868850975185483e-12,846716.6362660001,867091.3625978043,846716.6362660001,0.0,0.9956105146843716,842999.9860246122,42575.814568465605,863285.277794373
22.5,0.9238795325112868,800740.8099959999,42735.14519449999,2.8609974343406e-12,843475.9551905,866715.6071954841,843475.9551904999,1.1641532182693479e-10,0.9956105146843716,839773.5298711057,42547.55990220749,862911.1717648736
23.0,0.9205048534524404,797460.625522,42706.014839,1.327894886896864e-11,840166.6403610001,866329.6261079435,840166.640361,1.1641532182693479e-10,0.9956105146843716,836478.7412304546,42518.5574139752,862526.8849356488
23.5,0.917060074385124,794112.7162625,42676.123795,3.3963584878295566e-11,836788.8400574999,865933.1470677551,836788.8400575,-1.1641532182693479e-10,0.9956105146843716,833115.7677317858,42488.79757627391,862132.1462343853
24.0,0.9135454576426008,790697.3933605,42645.463865,-3.4951349060404386e-12,833342.8572255,865526.0520925695,833342.8572255,0.0,0.9956105146843716,829684.9109908249,42458.272227586414,861726.8381966153
24.5,0.9099612708765432,787215.0469445,42614.0263745,2.656729427643762e-11,829829.073319,865108.2987149499,829829.073319,0.0,0.9956105146843716,826186.5507871846,42426.972731489324,861310.9185413123
25.0,0.90630778703665,783665.8698585001,42581.80090450001,1.4149099344186002e-11,826247.670763,864679.6166464027,826247.6707630001,-1.1641532182693479e-10,0.9956105146843716,822620.8687451136,42394.88871471669,860884.1181664101
25.5,0.9025852843498606,780050.1613115,42548.777195500006,1.1589644327907022e-11,822598.938507,864239.8395331432,822598.938507,0.0,0.9956105146843716,818988.1525457719,42362.00996280241,860446.2714483314
26.0,0.898794046299167,776368.33585,42514.947797,3.534055288992484e-11,818883.283647,863788.9169902032,818883.2836470001,-1.1641532182693479e-10,0.9956105146843716,815288.8074982179,42328.32905795036,859997.3282232721
26.5,0.8949343616020251,772620.596587,42480.299779500005,1.9438672172351057e-11,815100.8963665001,863326.5519092698,815100.8963665,1.1641532182693479e-10,0.9956105146843716,811523.0229511437,42293.83312741439,859536.9926870719
27.0,0.8910065241883679,768807.3545555,42444.824144,5.7352238607861194e-12,811252.1786994999,862852.6657039003,811252.1786994999,0.0,0.9956105146843716,807691.1991738268,42258.51321169548,859065.1865982421
27.5,0.8870108331782217,764928.864232,42408.5084335,-4.1089026026631935e-14,807337.3726655,862366.9921721321,807337.3726654999,1.1641532182693479e-10,0.9956105146843716,803793.5771234268,42222.35690847345,858581.6449233099
