"Dates.dec" "GHIsat" "GHIstation"
2015.56164 NaN NaN
2015.56438 8.36859 8.0299
2015.56712 8.14213 8.1734
2015.56986 8.04467 8.0448
2015.5726 7.06745 6.5039
2015.57534 6.47023 6.3058
2015.57808 7.61339 6.5796
2015.58082 6.4945 5.7444
2015.58356 7.32433 6.2723
2015.5863 7.83426 7.5616
2015.58904 5.55871 5.7118
2015.59178 7.93559 6.4502
2015.59452 NaN NaN
2015.59726 8.2804 7.6176
2015.6 6.82243 7.2966
2015.60274 8.26988 7.7088
2015.60548 7.79175 7.8896
2015.60822 6.18009 5.846
2015.61096 6.90212 6.7565
2015.6137 7.44082 7.4347
2015.61644 7.77682 7.1059
2015.61918 7.34214 7.336
2015.62192 6.66545 6.5107
2015.62466 7.36251 7.2512
2015.6274 NaN NaN
2015.63014 NaN NaN
2015.63288 6.86619 7.0602
2015.63562 7.97464 7.3027
2015.63836 7.42701 7.4605
2015.6411 7.70677 7.0111
2015.64384 6.85163 7.0524
2015.64658 6.95883 6.511
2015.64932 5.79652 6.3157
2015.65205 7.5115 7.0983
2015.65479 7.38739 7.6237
2015.65753 6.20988 6.7776
2015.66027 7.85592 7.1867
2015.66301 6.95239 7.027
2015.66575 7.1055 6.5848
2015.66849 5.85555 6.6625
2015.67123 7.43854 7.1891
2015.67397 3.05134 2.527
2015.67671 5.51757 5.3447
2015.67945 NaN NaN
2015.68219 6.87028 6.2582
2015.68493 6.93746 6.0631
2015.68767 6.86358 6.4499
2015.69041 7.24007 6.6341
2015.69315 7.23646 6.9513
2015.69589 7.57284 7.059
2015.69863 7.37194 7.1006
2015.70137 7.31128 6.993
2015.70411 NaN NaN
2015.70685 7.01091 6.7747
2015.70959 7.23516 6.8427
2015.71233 NaN NaN
2015.71507 5.70441 5.4697
2015.71781 NaN NaN
2015.72055 5.5659 4.6952
2015.72329 NaN NaN
2015.72603 NaN NaN
2015.72877 NaN NaN
2015.73151 5.28654 5.3737
2015.73425 5.84471 5.9551
2015.73699 6.73585 6.1071
2015.73973 NaN NaN
2015.74247 NaN NaN
2015.74521 6.41662 6.1476
2015.74795 6.32497 5.1288
2015.75068 4.7855 5.1941
2015.75342 6.89552 6.1068
2015.75616 6.52378 6.4421
2015.7589 6.82635 6.4154
2015.76164 6.7037 6.4268
2015.76438 6.67263 6.265
2015.76712 6.00662 5.8099
2015.76986 5.15373 5.3055
2015.7726 5.87888 5.5709
2015.77534 5.87604 5.9173
2015.77808 6.45387 5.9763
2015.78082 6.12824 5.8768
2015.78356 5.93515 5.4972
2015.7863 NaN NaN
2015.78904 5.82355 5.7578
2015.79178 NaN NaN
2015.79452 5.39701 4.5894
2015.79726 NaN NaN
2015.8 NaN NaN
2015.80274 3.20019 3.1915
2015.80548 5.54238 5.1978
2015.80822 2.89155 5.4859
2015.81096 4.58024 4.4853
2015.8137 5.60589 5.3174
2015.81644 5.88578 5.2707
2015.81918 NaN NaN
2015.82192 NaN NaN
2015.82466 NaN NaN
2015.8274 4.18035 3.7119
2015.83014 5.6199 5.1199
2015.83288 4.20356 4.628
2015.83562 5.31788 5.2626
2015.83836 5.323 5.0873
2015.8411 5.43467 4.5535
2015.84384 5.22338 4.9862
2015.84658 5.52273 4.9633
2015.84932 5.0788 4.4106
2015.85205 1.73256 4.0423
2015.85479 2.38622 2.5907
2015.85753 3.23545 2.7765
