Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
311.00,0.05,0.04,0.05,0.05,0.07,0.09,0.07,0.10,0.08,0.10,0.11,47.84,48.81,49.24,49.56,63.65,62.26,63.06,62.67,63.71,63.22,62.57,62.83,62.68,62.62,62.25,62.52,63.06,62.79,63.27,62.90,61.43,
312.00,0.06,0.06,0.06,0.06,0.09,0.11,0.09,0.10,0.09,0.11,0.12,53.84,54.74,55.17,55.32,71.34,69.97,70.62,70.33,71.99,70.98,70.30,70.22,70.48,70.30,70.05,70.30,70.80,70.37,70.62,70.98,69.00,
313.00,0.07,0.07,0.05,0.08,0.10,0.12,0.10,0.12,0.10,0.12,0.13,59.58,60.41,61.28,61.34,78.87,78.15,78.31,78.03,79.69,78.54,77.79,77.97,78.01,77.79,77.79,78.06,78.33,77.97,78.13,79.31,76.74,
314.00,0.08,0.07,0.07,0.08,0.11,0.14,0.12,0.12,0.11,0.14,0.14,65.74,66.90,67.34,67.66,86.76,86.33,86.34,85.90,88.03,86.54,85.60,86.12,85.60,85.38,85.59,86.12,86.43,85.91,86.22,87.51,85.05,
315.00,0.10,0.08,0.08,0.08,0.12,0.15,0.13,0.13,0.12,0.15,0.15,72.17,73.04,73.65,74.07,95.19,94.85,94.56,94.03,96.74,95.25,93.96,94.15,93.87,93.85,93.93,94.28,94.47,94.29,94.39,95.99,93.20,
316.00,0.11,0.09,0.08,0.11,0.14,0.15,0.15,0.15,0.14,0.17,0.16,79.21,79.72,80.09,80.73,103.64,104.01,103.13,102.43,105.42,104.25,102.92,102.70,102.62,102.81,102.59,102.89,102.70,103.42,103.37,104.75,101.90,
317.00,0.12,0.10,0.09,0.14,0.16,0.16,0.16,0.16,0.15,0.18,0.16,86.87,87.14,87.27,88.52,113.63,113.97,113.02,112.40,114.89,113.93,112.73,112.64,112.28,112.86,111.93,112.64,112.25,113.29,113.15,114.50,111.65,
318.00,0.14,0.11,0.12,0.14,0.17,0.17,0.18,0.17,0.17,0.18,0.17,93.86,94.26,94.06,95.58,123.16,122.89,122.00,121.52,124.19,123.22,121.89,122.04,121.55,122.37,121.12,122.03,121.35,122.79,122.37,123.42,120.69,
319.00,0.14,0.12,0.12,0.15,0.18,0.16,0.19,0.18,0.17,0.19,0.17,99.61,100.40,100.07,101.68,130.83,130.19,129.69,129.40,131.54,130.56,129.36,129.54,128.46,129.90,128.61,129.33,129.44,130.18,130.30,130.58,128.25,
320.00,0.15,0.14,0.12,0.16,0.18,0.19,0.19,0.19,0.19,0.19,0.19,105.74,106.61,106.40,107.59,138.34,137.66,137.63,137.32,139.15,137.89,136.91,137.32,135.87,137.34,136.25,137.41,137.41,137.55,138.07,138.29,135.50,
321.00,0.16,0.15,0.13,0.18,0.18,0.18,0.20,0.19,0.19,0.19,0.21,112.10,112.96,113.17,113.92,146.54,145.25,146.64,145.89,147.50,145.89,145.35,145.57,143.53,145.04,144.50,146.42,145.78,145.04,146.21,146.22,143.42,
322.00,0.16,0.16,0.15,0.17,0.19,0.19,0.20,0.20,0.20,0.19,0.23,119.55,120.27,121.18,121.31,156.51,155.30,156.52,155.42,157.48,155.72,155.01,155.30,152.82,154.42,154.16,155.99,155.65,154.85,155.79,156.16,153.03,
323.00,0.17,0.18,0.15,0.18,0.20,0.21,0.21,0.21,0.22,0.20,0.25,129.98,130.41,131.64,131.57,169.52,168.27,170.03,168.91,170.94,168.91,168.59,168.00,165.72,167.20,167.36,169.13,169.14,167.43,169.23,169.48,165.75,
324.00,0.20,0.19,0.18,0.21,0.21,0.23,0.23,0.22,0.24,0.22,0.28,141.82,142.03,143.53,143.40,184.73,183.52,185.03,184.05,186.31,184.05,183.81,183.00,181.60,182.56,182.33,184.28,183.66,182.39,184.34,184.88,180.65,
325.00,0.21,0.20,0.21,0.22,0.23,0.24,0.25,0.24,0.25,0.24,0.29,153.89,154.59,155.76,156.52,201.26,199.91,201.45,200.38,203.09,200.40,200.34,198.95,197.89,198.78,197.86,200.31,199.58,198.78,200.20,201.23,196.70,
326.00,0.23,0.22,0.23,0.23,0.27,0.27,0.27,0.26,0.28,0.26,0.30,166.81,167.63,168.33,169.61,218.69,217.38,218.13,217.25,220.20,217.69,217.30,215.53,214.63,216.00,214.62,216.75,216.51,215.53,217.21,218.44,213.43,
327.00,0.25,0.23,0.23,0.24,0.29,0.28,0.29,0.28,0.29,0.27,0.32,178.22,179.33,179.78,181.40,233.52,231.92,232.96,232.04,235.78,232.45,232.25,230.30,229.97,230.95,229.72,231.10,230.88,230.06,232.29,233.62,228.22,
328.00,0.26,0.22,0.25,0.25,0.30,0.29,0.30,0.30,0.30,0.28,0.34,187.03,188.61,188.71,190.81,245.13,243.56,244.29,243.14,247.34,243.77,242.93,241.67,241.77,242.82,240.93,242.09,242.09,241.46,243.98,245.34,239.36,
329.00,0.26,0.23,0.26,0.25,0.30,0.30,0.31,0.30,0.30,0.29,0.34,193.50,194.80,194.65,197.28,253.85,252.36,252.89,251.51,255.90,251.73,251.22,250.72,249.65,250.88,249.48,250.81,250.99,249.84,252.46,253.85,247.41,
330.00,0.27,0.23,0.26,0.26,0.31,0.29,0.31,0.31,0.30,0.30,0.35,198.73,200.18,200.34,202.96,260.77,259.32,260.13,258.81,262.60,258.33,257.94,257.66,256.37,257.65,256.80,257.30,257.57,256.61,259.42,260.63,254.29,
331.00,0.26,0.23,0.25,0.26,0.30,0.28,0.30,0.31,0.30,0.29,0.34,202.32,203.55,203.95,207.18,265.30,263.30,264.77,263.55,266.74,262.87,262.83,262.39,261.17,261.95,261.86,261.64,262.35,261.42,264.45,265.03,258.96,
332.00,0.27,0.24,0.25,0.27,0.29,0.28,0.29,0.31,0.29,0.29,0.33,204.68,205.78,206.23,209.81,268.34,266.40,268.22,266.88,269.24,265.58,265.64,265.63,263.98,265.34,264.52,264.80,265.87,264.68,267.36,267.66,262.22,
333.00,0.27,0.24,0.25,0.26,0.28,0.28,0.29,0.31,0.29,0.29,0.32,205.47,206.50,207.13,210.68,269.24,267.80,269.36,268.25,270.30,267.05,267.41,266.62,264.86,266.37,265.83,266.30,266.71,265.99,268.36,268.65,263.64,
334.00,0.27,0.23,0.23,0.26,0.28,0.27,0.29,0.30,0.29,0.29,0.30,205.56,206.63,207.32,210.22,268.86,267.31,269.07,268.06,269.85,266.94,267.67,265.80,264.11,266.07,265.51,266.36,266.12,265.80,267.71,268.39,264.04,
335.00,0.26,0.24,0.23,0.25,0.28,0.28,0.28,0.29,0.29,0.28,0.30,207.44,208.02,208.71,211.16,270.74,268.58,270.83,269.17,271.23,268.77,269.56,267.50,266.03,267.70,267.01,268.29,267.80,267.30,269.17,270.15,265.74,
336.00,0.25,0.24,0.23,0.24,0.28,0.28,0.28,0.28,0.29,0.28,0.30,211.39,211.32,212.66,214.08,275.44,273.14,275.46,273.43,276.02,272.88,273.20,271.50,270.51,272.18,271.20,273.32,272.19,271.39,273.51,274.81,269.97,
