Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
303.00,8.59,8.63,8.23,7.85,7.49,7.60,6.59,6.80,6.47,6.45,6.39,6.50,7.07,7.10,7.63,8.03,8.44,8.79,9.19,9.71,10.04,10.31,11.16,11.79,12.45,13.05,12.94,12.96,13.64,13.92,13.67,14.20,15.04,15.14,14.92,15.32,15.44,14.81,15.17,14.81,14.72,15.00,14.73,14.67,14.48,14.74,14.97,15.29,15.88,16.62,16.81,17.36,
304.00,10.45,10.60,10.16,9.15,9.51,8.86,8.00,8.15,7.79,7.87,7.77,8.02,8.41,8.25,9.11,9.87,10.16,10.71,10.91,11.60,12.13,12.46,13.09,14.34,14.78,15.43,15.50,15.41,15.98,16.17,16.68,16.98,17.78,18.26,18.16,18.45,18.21,17.72,17.92,17.37,17.73,18.30,18.15,17.80,17.67,17.57,18.07,18.16,18.85,19.75,19.84,20.86,
305.00,12.67,12.30,11.68,11.17,10.86,10.35,9.53,9.54,9.16,9.26,9.33,9.50,10.02,9.84,10.73,11.50,12.15,12.77,13.05,13.87,14.31,14.83,15.58,16.85,17.62,18.02,18.50,18.44,19.09,19.31,19.77,20.56,21.15,21.66,21.52,21.72,21.66,21.04,21.58,20.90,20.93,21.49,21.01,21.10,20.96,21.15,21.44,21.72,22.34,23.27,23.58,24.91,
306.00,14.99,14.46,13.55,13.53,12.72,12.03,11.33,11.33,11.03,10.74,10.87,11.02,11.85,11.97,12.86,13.41,14.35,14.84,15.49,16.26,17.09,17.50,18.87,19.82,20.89,21.33,21.87,21.95,22.75,22.84,23.17,24.00,24.93,25.49,25.12,25.62,25.69,24.76,25.24,25.04,24.43,24.97,24.32,24.65,24.80,24.87,25.34,25.71,26.08,27.41,27.84,29.49,
307.00,17.44,17.06,16.01,15.44,15.18,13.86,13.41,13.37,13.06,12.67,12.82,13.03,13.82,14.02,15.16,16.00,16.73,17.47,18.07,18.95,19.95,20.61,21.61,23.52,24.16,24.92,25.62,25.60,26.26,26.37,27.18,28.01,28.71,29.64,29.90,30.05,29.68,28.72,29.28,28.98,28.59,29.14,28.90,28.80,29.22,28.79,29.55,29.88,30.22,31.71,32.46,34.34,
308.00,20.60,19.92,18.40,17.93,17.18,16.25,15.62,15.54,15.19,14.83,14.91,15.27,15.93,16.38,17.61,18.55,19.51,20.45,21.06,22.16,22.95,24.03,24.97,27.07,27.82,28.44,29.59,29.76,30.39,30.76,31.54,32.65,33.24,34.28,35.05,34.64,34.19,33.60,34.33,33.70,33.33,33.75,33.58,33.44,33.64,33.81,34.07,34.93,35.33,36.50,37.76,39.85,
309.00,24.23,23.20,21.46,20.95,19.77,19.06,18.19,18.20,17.78,17.23,17.28,17.65,18.61,19.41,20.65,21.38,22.71,23.67,24.72,25.79,26.86,27.86,29.46,31.06,32.44,33.23,34.39,34.70,35.51,35.80,36.41,37.76,38.86,39.81,40.29,40.18,40.04,39.34,39.78,39.65,38.66,38.98,38.67,38.84,38.97,39.34,39.53,40.95,41.12,42.65,44.19,46.26,
310.00,27.85,26.55,25.03,23.82,23.26,22.15,21.10,21.18,20.65,20.07,20.03,20.54,21.50,22.43,24.00,25.07,26.17,27.35,28.47,29.67,30.95,32.20,33.86,35.87,37.35,38.33,39.73,40.03,40.59,41.05,42.01,43.34,44.57,45.95,46.65,46.38,46.02,45.31,45.55,45.46,44.82,45.25,45.17,44.85,45.17,45.27,45.68,46.88,47.57,49.21,51.03,53.29,
311.00,31.33,30.27,28.36,27.07,26.17,25.09,24.03,24.08,23.43,23.08,22.88,23.57,24.48,25.32,27.07,28.49,29.76,31.25,32.35,33.76,34.86,36.64,38.21,40.65,42.31,43.43,45.02,45.42,45.91,46.49,47.78,49.25,50.62,51.83,53.12,52.54,52.07,51.60,51.91,51.50,50.93,51.44,51.44,50.89,51.23,51.40,51.83,53.12,54.10,55.79,57.85,60.17,
312.00,35.56,34.00,32.06,30.61,29.20,28.54,27.11,27.15,26.42,26.00,25.72,26.38,27.72,28.70,30.38,31.84,33.50,35.04,36.50,38.07,39.34,41.12,43.29,45.27,47.86,48.95,50.52,51.32,51.95,52.41,53.60,55.18,57.18,57.99,59.02,58.98,58.85,58.11,58.46,58.01,57.04,57.79,57.47,57.15,57.21,57.98,58.43,59.69,60.84,63.06,65.24,67.51,
