DateTime,Wavelength,Irradiance
2024/11/07 08:00:00,Wavelength(nm),Irradiance(W/m2/um)
2024/11/07 08:00:00,300.00,10.77
2024/11/07 08:00:00,301.00,12.20
2024/11/07 08:00:00,302.00,13.33
2024/11/07 08:00:00,303.00,15.45
2024/11/07 08:00:00,304.00,17.50
2024/11/07 08:00:00,305.00,20.01
2024/11/07 08:00:00,306.00,23.30
2024/11/07 08:00:00,307.00,27.47
2024/11/07 08:00:00,308.00,32.07
2024/11/07 08:00:00,309.00,38.11
2024/11/07 08:00:00,310.00,44.81
2024/11/07 08:00:00,311.00,51.86
2024/11/07 08:00:00,312.00,58.75
2024/11/07 08:00:00,313.00,66.39
2024/11/07 08:00:00,314.00,75.40
2024/11/07 08:00:00,315.00,83.56
2024/11/07 08:00:00,316.00,92.28
2024/11/07 08:00:00,317.00,102.37
2024/11/07 08:00:00,318.00,112.05
2024/11/07 08:00:00,319.00,119.58
2024/11/07 08:00:00,320.00,128.09
2024/11/07 08:00:00,321.00,137.04
2024/11/07 08:00:00,322.00,147.15
2024/11/07 08:00:00,323.00,158.96
2024/11/07 08:00:00,324.00,172.50
2024/11/07 08:00:00,325.00,186.84
2024/11/07 08:00:00,326.00,201.74
2024/11/07 08:00:00,327.00,214.97
2024/11/07 08:00:00,328.00,226.12
2024/11/07 08:00:00,329.00,235.67
2024/11/07 08:00:00,330.00,242.97
2024/11/07 08:00:00,331.00,248.27
2024/11/07 08:00:00,332.00,251.88
2024/11/07 08:00:00,333.00,252.97
2024/11/07 08:00:00,334.00,253.48
2024/11/07 08:00:00,335.00,254.30
2024/11/07 08:00:00,336.00,255.41
2024/11/07 08:00:00,337.00,257.18
2024/11/07 08:00:00,338.00,261.09
2024/11/07 08:00:00,339.00,266.29
2024/11/07 08:00:00,340.00,270.85
2024/11/07 08:00:00,341.00,273.73
2024/11/07 08:00:00,342.00,275.17
2024/11/07 08:00:00,343.00,276.79
2024/11/07 08:00:00,344.00,276.86
2024/11/07 08:00:00,345.00,276.74
2024/11/07 08:00:00,346.00,277.87
2024/11/07 08:00:00,347.00,281.47
2024/11/07 08:00:00,348.00,285.50
2024/11/07 08:00:00,349.00,289.41
2024/11/07 08:00:00,350.00,294.22
2024/11/07 08:00:00,351.00,301.51
2024/11/07 08:00:00,352.00,307.77
2024/11/07 08:00:00,353.00,311.02
2024/11/07 08:00:00,354.00,311.07
2024/11/07 08:00:00,355.00,307.08
2024/11/07 08:00:00,356.00,301.73
2024/11/07 08:00:00,357.00,297.62
2024/11/07 08:00:00,358.00,293.18
2024/11/07 08:00:00,359.00,294.60
2024/11/07 08:00:00,360.00,301.38
2024/11/07 08:00:00,361.00,308.81
2024/11/07 08:00:00,362.00,317.62
2024/11/07 08:00:00,363.00,332.37
2024/11/07 08:00:00,364.00,347.02
2024/11/07 08:00:00,365.00,358.70
2024/11/07 08:00:00,366.00,369.13
2024/11/07 08:00:00,367.00,376.30
2024/11/07 08:00:00,368.00,379.05
2024/11/07 08:00:00,369.00,378.21
2024/11/07 08:00:00,370.00,372.97
2024/11/07 08:00:00,371.00,363.61
2024/11/07 08:00:00,372.00,354.90
2024/11/07 08:00:00,373.00,349.33
2024/11/07 08:00:00,374.00,350.31
2024/11/07 08:00:00,375.00,359.65
2024/11/07 08:00:00,376.00,373.04
2024/11/07 08:00:00,377.00,385.42
2024/11/07 08:00:00,378.00,394.09
2024/11/07 08:00:00,379.00,390.90
2024/11/07 08:00:00,380.00,375.06
2024/11/07 08:00:00,381.00,356.99
2024/11/07 08:00:00,382.00,342.22
2024/11/07 08:00:00,383.00,330.08
2024/11/07 08:00:00,384.00,326.25
2024/11/07 08:00:00,385.00,332.42
2024/11/07 08:00:00,386.00,343.38
2024/11/07 08:00:00,387.00,357.70
2024/11/07 08:00:00,388.00,374.78
2024/11/07 08:00:00,389.00,388.64
2024/11/07 08:00:00,390.00,390.53
2024/11/07 08:00:00,391.00,384.78
2024/11/07 08:00:00,392.00,378.76
2024/11/07 08:00:00,393.00,369.43
2024/11/07 08:00:00,394.00,357.84
2024/11/07 08:00:00,395.00,364.67
2024/11/07 08:00:00,396.00,391.94
2024/11/07 08:00:00,397.00,424.92
2024/11/07 08:00:00,398.00,464.17
2024/11/07 08:00:00,399.00,511.61
2024/11/07 08:00:00,400.00,552.54
2024/11/07 08:00:00,401.00,579.36
2024/11/07 08:00:00,402.00,593.38
2024/11/07 08:00:00,403.00,596.16
2024/11/07 08:00:00,404.00,592.24
2024/11/07 08:00:00,405.00,589.78
2024/11/07 08:00:00,406.00,588.72
2024/11/07 08:00:00,407.00,588.87
2024/11/07 08:00:00,408.00,591.92
2024/11/07 08:00:00,409.00,600.71
2024/11/07 08:00:00,410.00,609.12
2024/11/07 08:00:00,411.00,616.74
2024/11/07 08:00:00,412.00,624.79
2024/11/07 08:00:00,413.00,633.14
2024/11/07 08:00:00,414.00,638.10
2024/11/07 08:00:00,415.00,640.36
2024/11/07 08:00:00,416.00,639.64
2024/11/07 08:00:00,417.00,638.91
2024/11/07 08:00:00,418.00,638.94
2024/11/07 08:00:00,419.00,639.68
2024/11/07 08:00:00,420.00,639.95
2024/11/07 08:00:00,421.00,640.23
2024/11/07 08:00:00,422.00,640.65
2024/11/07 08:00:00,423.00,640.18
2024/11/07 08:00:00,424.00,636.96
2024/11/07 08:00:00,425.00,633.32
2024/11/07 08:00:00,426.00,628.62
2024/11/07 08:00:00,427.00,616.30
2024/11/07 08:00:00,428.00,599.80
2024/11/07 08:00:00,429.00,590.09
2024/11/07 08:00:00,430.00,589.98
2024/11/07 08:00:00,431.00,596.06
2024/11/07 08:00:00,432.00,613.24
2024/11/07 08:00:00,433.00,638.70
2024/11/07 08:00:00,434.00,662.96
2024/11/07 08:00:00,435.00,675.13
2024/11/07 08:00:00,436.00,681.57
2024/11/07 08:00:00,437.00,686.40
2024/11/07 08:00:00,438.00,691.08
2024/11/07 08:00:00,439.00,696.40
2024/11/07 08:00:00,440.00,706.97
2024/11/07 08:00:00,441.00,722.47
2024/11/07 08:00:00,442.00,735.08
2024/11/07 08:00:00,443.00,744.31
2024/11/07 08:00:00,444.00,751.82
2024/11/07 08:00:00,445.00,757.63
2024/11/07 08:00:00,446.00,763.20
2024/11/07 08:00:00,447.00,775.28
2024/11/07 08:00:00,448.00,791.61
2024/11/07 08:00:00,449.00,803.16
2024/11/07 08:00:00,450.00,808.85
2024/11/07 08:00:00,451.00,810.51
2024/11/07 08:00:00,452.00,809.44
2024/11/07 08:00:00,453.00,805.50
2024/11/07 08:00:00,454.00,806.00
2024/11/07 08:00:00,455.00,809.85
2024/11/07 08:00:00,456.00,816.44
2024/11/07 08:00:00,457.00,821.41
2024/11/07 08:00:00,458.00,825.01
2024/11/07 08:00:00,459.00,828.84
2024/11/07 08:00:00,460.00,833.12
2024/11/07 08:00:00,461.00,835.35
2024/11/07 08:00:00,462.00,838.76
2024/11/07 08:00:00,463.00,838.21
2024/11/07 08:00:00,464.00,834.82
2024/11/07 08:00:00,465.00,830.66
2024/11/07 08:00:00,466.00,827.80
2024/11/07 08:00:00,467.00,822.35
2024/11/07 08:00:00,468.00,820.40
2024/11/07 08:00:00,469.00,818.32
2024/11/07 08:00:00,470.00,818.96
2024/11/07 08:00:00,471.00,822.38
2024/11/07 08:00:00,472.00,825.27
2024/11/07 08:00:00,473.00,831.17
2024/11/07 08:00:00,474.00,836.41
2024/11/07 08:00:00,475.00,838.09
2024/11/07 08:00:00,476.00,838.61
2024/11/07 08:00:00,477.00,843.97
2024/11/07 08:00:00,478.00,845.34
2024/11/07 08:00:00,479.00,848.07
2024/11/07 08:00:00,480.00,851.43
2024/11/07 08:00:00,481.00,850.58
2024/11/07 08:00:00,482.00,843.87
2024/11/07 08:00:00,483.00,830.88
2024/11/07 08:00:00,484.00,812.50
2024/11/07 08:00:00,485.00,795.71
2024/11/07 08:00:00,486.00,786.56
2024/11/07 08:00:00,487.00,784.58
2024/11/07 08:00:00,488.00,789.49
2024/11/07 08:00:00,489.00,800.44
2024/11/07 08:00:00,490.00,809.03
2024/11/07 08:00:00,491.00,813.76
2024/11/07 08:00:00,492.00,815.57
2024/11/07 08:00:00,493.00,818.61
2024/11/07 08:00:00,494.00,820.98
2024/11/07 08:00:00,495.00,824.63
2024/11/07 08:00:00,496.00,826.56
2024/11/07 08:00:00,497.00,823.05
2024/11/07 08:00:00,498.00,817.98
2024/11/07 08:00:00,499.00,812.19
2024/11/07 08:00:00,500.00,803.56
2024/11/07 08:00:00,501.00,795.57
2024/11/07 08:00:00,502.00,795.43
2024/11/07 08:00:00,503.00,798.09
2024/11/07 08:00:00,504.00,803.03
2024/11/07 08:00:00,505.00,808.51
2024/11/07 08:00:00,506.00,812.66
2024/11/07 08:00:00,507.00,815.05
2024/11/07 08:00:00,508.00,814.76
2024/11/07 08:00:00,509.00,811.94
2024/11/07 08:00:00,510.00,810.16
2024/11/07 08:00:00,511.00,807.22
2024/11/07 08:00:00,512.00,803.63
2024/11/07 08:00:00,513.00,796.56
2024/11/07 08:00:00,514.00,783.49
2024/11/07 08:00:00,515.00,768.10
2024/11/07 08:00:00,516.00,755.79
2024/11/07 08:00:00,517.00,746.54
2024/11/07 08:00:00,518.00,743.24
2024/11/07 08:00:00,519.00,748.41
2024/11/07 08:00:00,520.00,757.96
2024/11/07 08:00:00,521.00,769.51
2024/11/07 08:00:00,522.00,779.56
2024/11/07 08:00:00,523.00,784.26
2024/11/07 08:00:00,524.00,783.80
2024/11/07 08:00:00,525.00,782.05
2024/11/07 08:00:00,526.00,780.69
2024/11/07 08:00:00,527.00,779.96
2024/11/07 08:00:00,528.00,782.16
2024/11/07 08:00:00,529.00,789.68
2024/11/07 08:00:00,530.00,796.19
2024/11/07 08:00:00,531.00,798.85
2024/11/07 08:00:00,532.00,800.95
2024/11/07 08:00:00,533.00,800.91
2024/11/07 08:00:00,534.00,798.20
2024/11/07 08:00:00,535.00,795.14
2024/11/07 08:00:00,536.00,793.52
2024/11/07 08:00:00,537.00,789.06
2024/11/07 08:00:00,538.00,785.91
2024/11/07 08:00:00,539.00,781.93
2024/11/07 08:00:00,540.00,780.24
2024/11/07 08:00:00,541.00,781.60
2024/11/07 08:00:00,542.00,782.44
2024/11/07 08:00:00,543.00,784.28
2024/11/07 08:00:00,544.00,785.71
2024/11/07 08:00:00,545.00,787.87
2024/11/07 08:00:00,546.00,787.98
2024/11/07 08:00:00,547.00,788.83
