Date,2024/11/05,2024/11/052024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,
Time,09:26:00,09:28:0009:29:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:36:00,09:37:00,09:38:00,09:39:00,09:40:00,09:41:00,09:42:00,09:43:00,09:44:00,09:45:00,09:46:00,09:47:00,09:48:00,09:49:00,09:50:00,09:51:00,09:52:00,09:53:00,09:54:00,09:55:00,09:56:00,09:57:00,09:58:00,09:59:00,
Memo,EKO 711,EKO 711EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
Sensor Temp.(deg),18.5,24.0,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.5,24.5,24.5,24.6,24.6,24.6,24.5,24.6,24.5,24.6,24.6,24.5,24.4,24.5,24.6,24.6,24.6,24.6,24.6,24.6,24.6,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
300.00,15.66,15.64,15.48,15.84,15.20,17.37,17.03,15.30,17.09,16.64,16.44,16.12,15.12,16.02,16.53,16.44,15.54,17.59,15.82,16.29,16.26,16.65,14.57,16.14,16.77,15.98,16.93,16.39,16.56,16.53,17.02,
301.00,17.67,19.04,17.71,18.30,18.05,19.06,19.39,18.28,18.76,18.76,18.37,18.58,17.74,18.41,19.43,18.37,17.74,18.51,18.31,18.48,19.01,18.69,17.47,18.72,19.08,18.24,18.89,18.97,18.30,18.90,19.63,
302.00,20.67,20.98,21.00,21.12,20.85,22.10,21.56,21.38,21.15,21.56,22.22,21.98,20.70,21.69,23.20,20.71,20.55,21.40,22.09,21.95,22.63,22.07,20.26,22.25,21.80,21.49,22.10,22.11,21.38,22.39,22.01,
303.00,24.09,25.62,24.79,24.97,25.22,25.90,25.53,25.20,25.78,24.85,25.76,26.08,25.13,25.10,27.03,24.77,25.20,26.21,26.31,25.95,26.33,26.26,25.24,25.17,24.81,25.89,26.33,25.67,26.24,26.37,26.08,
304.00,28.54,29.67,29.49,29.90,29.82,30.40,30.20,29.99,30.25,29.82,29.82,31.30,29.81,29.92,30.91,29.69,30.10,30.16,30.90,29.77,30.43,30.47,31.09,29.96,29.52,31.29,30.97,30.62,30.68,30.97,30.87,
305.00,33.72,35.35,34.36,35.84,34.99,34.50,35.14,35.28,34.93,35.42,35.28,36.55,35.56,35.49,36.34,34.71,35.63,34.79,36.20,34.93,35.99,35.77,36.20,35.84,34.78,36.13,35.56,35.99,35.63,35.70,36.06,
306.00,40.09,40.68,41.07,42.07,40.87,40.04,40.63,41.43,40.73,41.19,41.52,42.40,41.33,41.33,42.30,41.15,42.08,41.19,43.10,41.20,41.42,41.62,41.84,41.62,40.49,42.12,41.39,42.35,42.40,42.03,41.70,
307.00,46.66,48.60,47.21,48.32,47.19,47.17,47.69,47.68,48.54,48.46,47.68,48.99,48.04,48.35,48.50,48.58,49.58,48.37,49.75,47.86,48.27,48.38,49.51,48.02,47.44,49.21,48.62,49.68,49.72,49.02,48.37,
308.00,54.80,55.58,54.94,56.39,54.44,55.21,55.19,55.47,56.36,55.85,55.43,56.75,56.03,56.24,55.88,56.39,56.65,56.08,57.15,55.35,55.99,56.26,56.77,56.65,56.13,56.75,56.40,57.59,57.78,56.26,56.65,
309.00,63.79,64.90,63.63,65.62,63.75,63.81,64.04,64.78,64.84,65.00,64.29,65.03,65.77,65.47,65.20,65.73,65.87,64.61,66.31,65.34,65.46,65.35,65.11,65.70,65.91,65.56,65.60,67.53,66.09,65.50,65.78,
310.00,73.52,74.70,73.90,75.51,74.33,74.40,73.85,75.08,75.19,74.91,74.81,75.24,75.44,75.69,75.71,76.25,75.97,75.65,76.87,76.20,76.09,75.87,75.09,76.27,76.29,75.49,76.32,77.98,77.13,76.35,75.39,
311.00,83.53,84.61,84.40,85.26,84.02,85.01,84.36,84.76,86.09,85.00,84.76,85.48,86.08,85.94,85.78,86.96,86.35,86.64,86.57,86.64,86.44,86.69,86.00,86.46,87.35,86.66,87.68,88.47,88.12,87.13,86.36,
312.00,94.44,95.13,94.46,95.86,94.96,96.12,95.91,95.80,96.88,96.06,95.08,96.79,97.35,96.50,96.62,97.77,97.48,97.07,97.82,97.79,97.57,97.51,97.41,98.09,98.77,98.07,98.78,99.28,98.26,98.23,98.18,
313.00,105.47,106.69,105.96,107.91,106.91,107.78,107.89,107.30,108.18,108.29,107.53,108.41,108.90,108.64,108.86,109.86,109.50,109.01,109.96,110.09,109.73,109.72,109.14,110.47,110.58,109.95,110.95,111.55,110.22,110.72,109.77,
314.00,117.48,118.93,117.65,119.24,119.32,119.83,119.72,119.62,120.50,120.14,119.83,120.51,120.40,120.42,120.95,122.14,122.20,121.91,122.75,122.61,121.34,122.00,122.32,122.49,121.67,122.39,122.67,123.14,123.54,123.61,122.34,
315.00,129.34,130.94,130.17,131.39,130.99,132.19,131.92,131.31,133.34,132.69,131.64,132.65,132.65,132.54,132.57,134.08,134.80,133.91,134.78,134.39,133.65,134.22,135.44,134.50,133.93,135.79,135.24,135.00,135.48,135.53,135.07,
316.00,142.35,144.78,143.02,144.78,143.63,145.63,145.39,144.72,146.06,146.24,145.09,146.36,145.75,145.45,146.05,147.15,147.63,146.78,148.00,147.45,147.27,147.51,148.12,148.24,147.39,148.54,147.63,148.05,148.24,148.30,149.09,
317.00,155.89,157.51,156.22,158.89,157.59,158.68,158.52,158.64,159.21,160.14,158.97,159.86,159.62,159.25,159.89,160.46,161.15,160.62,162.21,161.72,161.07,161.19,161.55,161.72,160.78,162.04,161.52,161.88,162.12,162.61,162.53,
318.00,168.07,169.45,169.04,171.07,169.73,170.29,170.44,171.03,171.12,171.90,171.15,171.97,172.07,171.27,171.86,172.10,173.59,173.56,174.03,173.61,173.85,173.56,174.09,173.75,172.99,174.44,173.70,173.32,174.43,174.82,174.51,
319.00,178.76,179.74,179.99,181.45,180.23,181.21,181.56,181.55,182.03,182.78,181.57,183.39,182.92,181.81,182.40,183.14,183.73,184.82,184.35,184.10,185.31,184.95,184.36,184.61,184.95,185.19,185.21,184.60,185.29,184.85,185.92,
320.00,188.93,191.36,191.91,192.62,191.18,192.57,192.62,192.87,192.65,193.53,192.55,194.29,194.72,192.75,193.81,194.32,194.38,195.27,195.91,195.32,196.19,195.78,195.27,195.91,196.14,195.70,196.42,196.27,195.59,196.44,196.38,
321.00,199.84,203.14,203.53,203.85,203.68,204.10,204.36,204.60,203.75,205.43,204.31,205.85,206.51,205.36,205.56,205.91,206.23,207.30,207.50,206.97,207.99,207.45,206.99,207.43,207.26,207.13,208.70,207.97,207.78,208.47,206.84,
322.00,212.92,218.18,218.29,217.84,218.31,218.15,218.08,218.19,217.70,218.73,217.49,218.95,220.16,218.99,219.06,220.40,220.42,221.29,220.66,220.45,221.62,221.52,221.01,220.61,220.75,220.95,222.18,221.67,222.19,222.47,220.69,
323.00,228.63,234.73,234.52,234.73,235.13,235.22,234.82,233.79,235.13,235.34,233.09,235.47,236.56,235.92,235.19,237.30,236.71,236.84,237.87,236.75,238.12,238.03,238.06,237.32,237.72,237.72,238.94,238.58,238.33,239.00,237.54,
324.00,246.54,252.96,252.21,252.76,252.73,253.80,252.50,252.09,253.11,253.60,251.28,253.15,255.15,254.45,253.64,255.44,254.67,254.47,256.58,255.28,255.89,255.55,255.67,256.36,256.01,255.86,257.32,257.09,256.85,257.60,255.46,
325.00,266.18,271.43,271.11,271.74,271.44,272.28,271.87,271.43,272.30,272.97,270.21,273.08,273.71,274.73,272.82,274.77,274.15,274.40,276.41,275.40,275.47,274.90,275.33,275.44,274.63,275.67,276.16,276.54,277.14,277.68,275.08,
326.00,285.75,290.90,289.40,291.14,290.60,291.93,291.17,291.17,291.78,292.44,290.13,292.47,293.55,294.71,292.73,295.53,294.43,294.68,296.42,294.92,295.56,294.72,295.73,295.13,295.74,296.78,296.37,296.34,296.70,298.37,294.95,
