Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
303.00,14.84,15.01,14.50,16.81,14.23,13.19,13.09,13.34,12.58,12.22,11.84,11.62,11.81,11.87,11.67,11.27,11.48,11.33,12.06,11.47,11.01,10.76,11.44,11.59,11.53,11.94,10.32,10.75,8.49,8.36,8.18,8.02,7.95,7.49,6.41,6.70,6.74,6.19,5.78,5.33,5.48,5.75,5.85,5.83,5.32,5.33,5.47,5.38,5.07,5.37,5.47,5.33,5.61,5.33,
304.00,17.50,18.37,17.61,19.99,17.08,15.61,15.92,15.95,14.97,14.72,14.47,13.96,14.05,14.12,13.89,13.38,13.64,13.54,14.59,13.90,13.34,13.05,13.81,13.81,14.14,14.23,12.40,12.72,10.37,10.04,9.97,9.28,9.26,8.77,7.63,7.78,8.08,7.57,6.91,6.33,6.55,6.97,6.77,7.04,6.40,6.29,6.44,6.51,6.12,6.33,6.53,6.38,6.58,6.40,
305.00,20.78,22.09,21.18,23.67,20.39,18.78,18.72,18.81,17.93,17.76,17.25,16.71,16.68,16.66,16.66,15.70,16.20,16.20,17.11,16.54,15.78,15.78,16.35,16.37,16.80,16.80,14.76,14.87,12.53,12.10,12.02,10.86,10.95,10.29,9.05,9.25,9.67,8.85,8.15,7.49,7.73,8.22,8.07,8.29,7.37,7.41,7.55,7.58,7.18,7.32,7.73,7.54,7.66,7.59,
306.00,24.41,26.28,24.91,27.92,23.89,22.56,21.94,21.89,21.09,21.00,20.30,19.85,19.93,19.81,19.54,18.83,19.13,19.46,20.21,19.85,18.83,18.48,19.20,19.37,19.89,19.70,17.43,17.71,14.79,14.23,14.12,12.96,12.84,12.22,10.77,10.89,11.26,10.45,9.55,8.89,8.88,9.58,9.51,9.85,8.66,8.75,8.94,8.83,8.53,8.51,9.11,8.96,9.00,8.84,
307.00,28.72,31.17,29.34,32.96,28.23,26.62,25.98,25.61,25.00,24.96,23.97,23.29,23.79,23.25,22.94,22.58,22.78,23.15,23.65,23.74,22.15,22.04,22.68,22.98,23.56,23.22,20.61,20.95,17.62,16.84,16.96,14.99,15.18,14.36,12.86,12.88,13.34,12.39,11.20,10.42,10.37,11.40,11.15,11.76,10.34,10.42,10.65,10.31,10.03,10.02,10.77,10.58,10.71,10.34,
308.00,33.76,36.39,34.66,38.59,33.09,31.40,30.76,30.07,29.35,29.23,28.09,27.60,27.98,27.15,26.83,26.71,26.61,27.71,27.82,27.82,25.88,25.92,26.72,26.82,27.51,27.24,24.30,24.72,20.51,19.61,20.13,17.77,17.71,17.09,15.25,15.10,15.81,14.75,13.23,12.20,12.10,13.36,13.04,13.85,12.25,12.22,12.56,12.20,11.73,11.65,12.65,12.54,12.52,12.20,
309.00,39.92,42.52,40.77,45.23,39.08,37.05,35.95,35.30,34.85,34.20,33.37,32.44,32.86,31.95,31.82,31.28,31.23,32.45,32.52,32.57,30.48,30.41,31.49,31.69,32.35,32.07,28.62,29.23,24.06,23.11,23.56,20.99,20.58,19.94,18.08,17.83,18.70,17.30,15.61,14.34,14.34,15.64,15.40,16.12,14.45,14.35,14.74,14.32,13.71,13.71,14.91,14.83,14.82,14.48,
310.00,46.64,49.56,47.53,52.88,45.63,43.28,42.11,41.00,40.50,39.74,38.89,38.07,38.44,37.55,36.98,36.54,36.40,38.12,38.07,37.81,36.02,35.46,36.71,37.12,37.88,37.35,33.50,33.94,28.30,27.01,27.43,24.84,23.93,23.47,21.19,20.89,21.92,20.30,18.26,17.02,16.73,18.31,18.13,18.82,17.02,16.83,17.31,16.82,15.87,16.00,17.50,17.41,17.38,16.97,
311.00,53.62,56.63,54.53,60.48,52.36,49.58,48.49,47.10,46.48,45.52,44.65,43.76,44.12,42.88,42.35,42.18,41.86,43.55,43.62,43.43,41.47,40.78,42.21,42.71,43.35,43.02,38.59,39.14,32.41,30.93,31.57,28.76,27.51,27.16,24.50,24.10,25.35,23.42,21.17,19.60,19.29,21.15,20.88,21.72,19.72,19.49,19.91,19.34,18.17,18.56,20.08,19.97,20.14,19.48,
312.00,60.79,64.16,61.87,68.76,59.55,56.06,55.13,53.81,52.78,51.58,50.82,49.64,49.91,48.64,48.10,47.72,47.55,49.47,49.52,49.21,47.38,46.27,47.91,48.39,49.17,48.87,43.84,44.59,36.99,35.19,35.80,32.72,31.16,30.92,27.89,27.37,28.98,26.71,24.24,22.32,22.04,24.14,23.70,24.75,22.59,22.30,22.59,22.19,20.80,21.20,22.89,22.80,22.85,22.35,
