DayOfYear,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
76,0.0,0.0,0.0,0.0,0.0,13.237257763703038,278.3036155119538,481.30507880076766,589.0492839112878,670.5660283904523,684.8936970353127,685.3109296441078,647.5081000964623,600.8386595476419,566.8499128775671,472.5472432455048,372.97064569592476,87.2872454976663,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,18.496660978742973,277.8971731975151,441.81931253258847,510.118517410371,603.1848415360728,619.4345383733511,603.598590897955,598.791885017907,576.0150240883231,520.7567788932472,458.965853128327,364.0762707729824,80.32558698698412,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,17.915258555774365,257.4886654319474,455.35215370091953,529.1588019414681,555.9456737808883,574.9447685927153,629.9531276535242,656.7725072085857,595.8219135463238,506.9359148830175,404.70518206775597,338.00751363784076,78.8790573760867,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,19.133538667259018,240.64357417076826,376.2566571985296,451.85962067618965,514.9564068496236,560.6497124180663,629.4567264967715,585.9259286664048,556.9256487101317,504.4309412509203,390.5059768625982,276.88008837789425,65.2577036900133,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,19.458079429376685,235.04556060731412,414.4227452193418,480.1509624621831,466.9558812469244,522.8191863361747,545.5425754684723,548.5271911314834,531.7462764642084,456.55515789762137,404.03107972331344,340.3036863565445,87.7402108839862,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,25.95845675356686,279.1360640309751,439.7067183825817,509.2264285035928,536.3348526095797,549.900851389207,537.8369478136301,544.8181952118873,510.2857083082199,486.37421019468457,454.5998196542729,324.1117334991851,81.90128592074352,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,27.83938916056359,226.73048536491478,374.4755719621182,482.87613655156093,547.4656995702535,495.8300950791687,525.8874503463506,548.378528213501,482.8044103324413,425.8682333145116,373.3746721663483,261.94470657866333,72.34499437485708,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,33.10489624710915,266.2262874612643,452.8274641610682,550.0107668979745,603.9613250057475,612.2207382354857,569.7233873840603,565.8929205109831,514.8237295975129,470.187528497073,378.4400373578074,282.0980629801751,83.37483603425207,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,23.826698838422498,220.53042277470232,418.8590911082923,454.6362787971149,534.0596240435877,518.2802174642682,492.572268313542,488.90939347893,445.6109288139502,428.0339038629651,420.5053666247677,335.76196849710453,91.39399893283844,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,32.48741432764071,222.39915617311217,328.69403728882605,395.6092638850212,380.62610482719754,392.16182828951275,412.4731013342738,423.9055618017912,364.85801990255715,287.84893052466214,252.33793895482057,199.092909699928,55.736910973559134,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,26.069017801464742,185.44295601456045,320.6942584034278,398.7760824879292,465.14742511150325,494.0801378512213,494.84736715164036,514.641166293621,442.48909161090853,399.92501579781964,383.65932320160937,338.24003838280674,112.98774252831936,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,47.94530197318841,256.6879637748003,370.51120396449716,487.0632775027716,493.07110723568474,470.97523532360793,453.1668971248902,502.53596691526474,512.7635667901486,479.6852112211287,404.91481086215936,288.9776950228028,113.64981967806816,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,42.938603681325915,265.1345435237512,429.30297181606295,507.1391163349152,570.9002443313599,601.7413719683885,595.1697867393493,605.3810204982758,586.8619689941406,520.6775897590296,433.5594869276791,317.7581395158525,95.95625725558105,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,49.180170309869574,269.75020797252654,377.22921941196546,429.79927425377974,502.98106258097386,551.9294761129016,560.2968535415077,571.1815324326046,493.9728825338276,445.64471080728333,405.3693635127391,338.1833471953869,114.50970327369869,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,64.20891371778416,319.7602494955063,542.6021032992751,630.9967267458327,646.1371910220711,640.5092918395997,582.9672653794289,623.6183753460646,615.182004506886,624.9978566169739,525.2962711453438,394.0474100112915,127.02105054855346,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,54.64957885520416,313.129354326427,462.6616150973365,505.8291566387343,549.1788606520743,597.8175051093101,579.0025836347043,545.2696374910884,526.0918986175209,429.20304020941455,389.23478710353373,327.70034379959105,115.91457307338715,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,73.82650237751909,348.2392296388745,489.1872791385561,546.0329449789274,605.6531489178541,691.4406103404417,640.188086040318,594.8058724991977,533.9685392022133,464.2574018462219,359.92256745607665,303.1815783056671,121.5822479022434,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,49.85977214886715,264.2835975087486,422.841322136432,530.1228276680224,572.8291692815721,535.635092998296,531.3392620690167,533.5800824447069,488.7743106333539,394.12294338233767,312.87445556915765,247.65547431558372,102.35736295059323,0.0,0.0,0.0,0.0,0.0,0.0
