Date,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,
Time,10:00:00,10:01:00,10:02:00,10:03:00,10:04:00,10:05:00,10:06:00,10:25:00,10:26:00,10:27:00,10:28:00,10:29:00,10:30:00,10:31:00,10:32:00,10:33:00,10:34:00,10:35:00,10:36:00,10:37:00,10:38:00,10:39:00,10:40:00,10:41:00,10:42:00,10:43:00,10:44:00,10:45:00,10:46:00,10:47:00,10:48:00,10:49:00,10:50:00,10:51:00,10:52:00,10:53:00,10:54:00,10:55:00,10:56:00,10:57:00,10:58:00,10:59:00,
Memo,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,100,100,100,100,100,100,100,500,100,100,100,100,100,100,100,100,1000,1000,2000,5000,5000,2000,200,
Sensor Temp.(deg),24.6,24.5,24.6,24.5,24.5,24.6,24.6,24.4,24.8,24.8,24.8,24.6,24.5,24.5,24.5,24.6,24.6,24.6,24.6,24.6,24.5,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.3,24.3,24.3,24.6,24.6,24.4,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
300.00,9.96,10.31,10.13,10.56,10.48,10.49,10.38,8.10,9.06,9.52,9.33,9.24,6.32,5.90,7.66,8.29,9.42,5.63,4.14,8.53,9.34,8.80,9.25,7.82,9.76,9.59,2.37,6.78,9.52,8.53,9.01,8.70,7.47,8.81,8.19,0.82,0.92,0.33,0.06,0.02,0.32,5.15,
301.00,11.66,12.03,11.75,12.51,12.50,12.32,12.22,9.88,11.20,11.17,11.10,10.91,7.24,7.06,9.02,9.79,11.38,6.58,4.98,10.26,11.09,10.24,10.62,9.41,11.75,11.28,2.86,8.17,11.37,10.27,10.26,10.54,9.04,10.35,9.79,0.94,1.10,0.41,0.06,0.03,0.39,6.11,
302.00,14.12,14.32,13.94,15.02,14.92,14.86,14.42,12.47,13.62,13.32,13.67,13.09,8.66,8.78,10.89,11.91,13.82,7.78,5.85,12.77,13.35,12.31,12.53,11.41,13.92,13.50,3.48,9.69,13.60,12.77,12.55,12.89,11.23,12.63,11.93,1.14,1.35,0.49,0.08,0.03,0.46,7.29,
303.00,16.91,17.15,16.67,17.74,17.68,17.85,17.13,15.36,16.43,16.01,16.60,15.94,10.21,10.56,13.02,14.27,16.39,9.48,7.03,15.74,16.26,14.83,14.93,13.51,16.56,16.09,4.24,11.57,16.29,15.63,15.25,16.02,13.48,15.07,14.52,1.38,1.64,0.58,0.08,0.03,0.56,8.80,
304.00,20.53,20.91,20.42,21.18,21.51,21.45,20.75,18.85,20.10,19.61,20.10,19.39,12.49,13.09,15.80,17.22,19.66,11.57,8.53,19.55,19.88,18.14,18.14,16.13,19.50,19.44,5.13,14.12,20.04,19.12,18.90,19.71,16.13,18.47,17.71,1.70,1.98,0.72,0.09,0.03,0.67,10.81,
305.00,24.65,25.09,24.61,24.94,25.24,25.17,24.61,22.50,23.69,23.39,24.02,23.10,15.04,15.48,18.62,20.25,22.91,13.67,10.27,23.32,23.43,21.40,21.84,19.07,22.84,23.17,6.11,16.66,23.65,22.65,22.72,23.36,18.70,22.10,21.25,2.06,2.41,0.86,0.11,0.03,0.79,12.99,
306.00,29.36,29.76,29.27,29.20,29.33,29.51,28.75,26.23,27.26,27.55,28.40,27.70,17.83,18.07,21.72,23.88,26.81,16.29,12.15,27.39,27.12,25.00,25.87,22.16,26.54,27.30,7.18,19.50,27.64,26.34,27.05,27.32,21.60,25.76,24.87,2.49,2.90,1.01,0.14,0.04,0.96,15.30,
